CANADA 90ITEMS
09002N
11701140
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
   81230 2313311313133313111133313331333
   82350 1333133333333333133311333311311131311333311133133313331313333
   82350 2313131131333311111133313331333
   83200 1133133131333331333311131313311331311313311113313333331311333
   83200 2333313131333333111333333311313
   84200 1333113333333133313313113313311331311333111131113313333113333
   84200 2331313133333311131333113311333
   85230 1131333331333331333313113111331111311313113131113111333113133
   85230 2313111133133311111133111311313
   86240 1333133331331131331131313111111111311311331133333311331131313
   86240 2313311311331313111113111331333
   87190 1133113333333311133313133313331131313333313133333333313113333
   87190 2331333331333331131333113333333
   88180 1133333331333333133311133313111331311333133111113313333313333
   88180 2111313131133313131133313331313
   89181 1133113333133133133313131113311311311333113131133311131113333
   89181 2331113113133313131133313311313
   90200 1331133333333331133311113313111131313333313113133313311111313
   90200 2313113131133333113333311311133
   91190 1331133113333331133311131113111131313313311113133313331133331
   91190 2313313111131313333131313331333
   92201 1331333133333331133111113111111131313311311133313311311113113
   92201 2313111111331111111313311331331
   93190 1333133133333131133311113311111111313333333131333313331111333
   93190 2333313131133333131133133331333
   94211 1333133133333333133311133313311331311333331131113311331313133
   94211 2311111133333311131133313131313
   95190 1333131131333131133311111313111131333313311333113313331311131
   95190 2311313311331311111131311331333
   96190 1333133331333133333311133313311331311333331133133313331113131
   96190 2311111111333311111133311331313
   97180 1331133333133331331313111113111331331333113131113311333111311
   97180 2331111331131311131333313311113
   98221 1131111333131133333313313313131331311313313111113313133133333
   98221 2333111311333313133133313311333
   99190 1313331333331133133111113111111133111311111133113313331113131
   99190 2333313331331311111113313331313
  100190 1333131331333333333313133313111331311313311133133313333313131
  100190 2331313131333313311333313331313
  101181 1333113113333331133131111313111131333333311113131311331333133
  101181 2311313113331111113111313331333
  102191 1333333333333331333331333311311131313313311133113313333133333
  102191 2313113311333311313333311331333
  103191 1333313331333333333311133311111131313313313113313313331111333
  103191 2331313113331331111133313331333
  104221 1333313133333111333311133113311131311333113131133113131313333
  104221 2313333131133311131331113311313
  105180 1333333313333131133311113311313131133331311133333313331111133
  105180 2333333311311131131333313331333
  106240 1311333333333331133311113313311131111313311131333313311111333
  106240 2313311131333331111133313331333
  107281 1333133113131333133313113313111131311313111131113313331113131
  107281 2313111311131311131113113331331
  108231 1331111333131131313113313111313131113113111131313313111113333
  108231 2313311113131311113313111331133
  109190 1313133333333131133311133313311331311331311133113313313133331
  109190 2331313133333333131133113333333
  110180 1333333333333131333311131313311131331333331131133311331131333
  110180 2311313131333133131133313331333
  111181 1333333333333133333311133311313133311333331131133313333133333
  111181 2333333133113311133333333333313
  112180 1113133131333331333311133313111131331333131113133311331113333
  112180 2311113131333131133133311311313
  113211 1331311131331131133331133311313131113313311133113313331113133
  113211 2133113133313311131133133313333
  114181 1333333133333133333333133311311331313333133131133311333113133
  114181 2313311313133333131333113331333
  115201 1131331133333331133311113313311131113313111133133311333113331
  115201 2313313113331311131133313331313
  116190 1131113133333113333313111311311331311333313111113311331111331
  116190 2313311333133131131333313331133
  117180 1333133333331131333113133313111131113313111131113311131111333
  117180 2113313131131311131313313333333
  118191 1133333333333333333113133311313133113313331133313311333131333
  118191 2333333133311333111313333331311
  119260 1113133131333131333111113311331131113333311133133313313113313
  119260 2313311133331331131113313331313
  120200 1333133313333111333111113331113131111331311113133331311111113
  120200 2313133113333331331133313331133
  121181 1333333131333331333112113311311131111313313131313313331113133
  121181 2313313313131311111113313331113
  122201 1331133133333131133111313311111131113313311133113313331133133
  122201 2313111313333311311133313331333
  123211 1331331133331131333131113111331131111313311131113313331311131
  123211 2313311131131311111113111111333
  124190 1333133113331333133311113313111331311331331133113311331133333
  124190 2311113133333311131313313131333
  125190 1331133133333131133111333311111131111311311133133313331111331
  125190 2311113133331331111313313331333
  126191 1333333331333133333111133311311131313313311333333313331111333
  126191 2333313313311331131333313331333
  127180 1333133333333131333111333111111131311333311133113333333113333
  127180 2313111113331111111113113331333
  128190 1333113133333311133313131313131331333333113131133313133311313
  128190 2311313133133133113133311311333
  129220 1133133333333333133311133313311331311333331131133313333313333
  129220 2333113131333313131131313331333
  130201 1313133131331133333311333311111131113331111133313313331111133
  130201 2333313133331311131113333131333
  131221 1333113133333133133313131313111331311331133131133313331311113
  131221 2311113113133331111333313311333
  132200 1313133333333331133111113313311131313333311113133313313133111
  132200 2313313311333111111131311331333
  133190 1331313333131331133111113311311131113311113131133313331333333
  133190 2331111113333311111133313331333
  134191 1331113131333311333111133111131131131333113131133111131313133
  134191 2313313111131111111111111331133
  135191 1311311131313111331111133311311131113311311113333313333111131
  135191 2333113333333331133333333333313
  136211 1331311133333331333111131111111131111311313131113313331313333
  136211 2331311313333311111113313311313
  137231 1133131131333333133311133311111131113313331133113311313111333
  137231 2313311333331313111113313333122
  138190 1333133133333131133111133313111131311331311131133313331333331
  138190 2313313133331311131133313331313
  139190 1331133331333331133313133311111131313333331133333313331133333
  139190 2311313111333311113113313331333
  140181 1313333333333133133311131113311311313331311131133313331113333
  140181 2313113113113313131313331331313
  141190 1333333331333131333311133311111131113333311133133313333333131
  141190 2313313133333311331133313331313
  142201 1333133131333311133313113113111131113333311133133311133113313
  142201 2313111111331311111133313331313
  143190 1313133333333331333313333313311331311333311111113313331113333
  143190 2313311333131311131133113331333
  144240 1311111113333131133111333311111331113313113113133313331113331
  144240 2311113113331331111113313331333
  145181 1333113311133133313311113311131331331333131111133313133311311
  145181 2313313111133313131333113311313
  146190 1331133333333331333311311311311131313333311133333311331331333
  146190 2313313331333333111133313331333
  147220 1333333333333333333131113113331331313333311131133313333113333
  147220 2333313133333311331333313331333
  148191 1333133133333311131111113311311311331311131131113313331313331
  148191 2311313311133313133331313131333
  149190 1131313333333133133113333311311131111313111131313313333113333
  149190 2313313113333331111333311331333
  150190 1333133333333133133313113313331331113133113133133311331333331
  150190 2313313131333311111113313311333
