ZIMBAWE 90ITEMS
09002N
11641146
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
  189230 1133331133133331333113111133131131133313311111133311331
  189230 2333313331333133333311133113331331133
  190181 1333113333333133133331111313331131133333313111331311331
  190181 2313313331313131333111131131311113133
  191300 1333311113333331133111133313133131113333311131133311331
  191300 2333313333131311231133133113311333333
  192210 1113313133333311331333113111131131133333313113113311311
  192210 2333113311131333113311113311313131111
  193210 1233133333333113133131132113111333133333321111131311331
  193210 2313113331311111331313213111312331333
  194260 1333313113333131133333131313111331133333311111133311331
  194260 2113313331113311333113333113313331333
  195200 1131313333333111131333133113131331131333113111133313331
  195200 2113311311111331133111113333113311333
  196190 1133113113333111133311113111131111131331313111133311331
  196190 2113331313111311331311113313113331333
  197190 1133313133333331333333133113133331131313333113133313331
  197190 2333333333333111333313133111311333333
  198220 1333131113333333333311113113311131311333111133133311331
  198220 2331333313113113333131131333313333313
  199230 1131313313333331133331131313131133331313331131131311333
  199230 2333113313113311333331131333311131333
  200200 1133113113333331133111133313131131113313311311113311331
  200200 2311331313113111313311113113313331133
  201310 1133113113333311113133131113331111113331113131131313131
  201310 2333111311111111133311113131313131333
  202290 1331331113333311133131111311111131113313311113113313331
  202290 2333111311311111331311113113311133133
  203301 1333313113333113133331111113311331331333313133133311331
  203301 2333313311111111333131111333311131333
  204220 1131313113333331133133111113111111133331333111131311311
  204220 2333111331111111331111113111311131133
  205230 1133133113331331133111113311111131113311311133113313331
  205230 2131133311113113331331111113313331133
  206301 1131113113333131333133131113131113111333311133131313331
  206301 2313113331111313333311113133113131133
  207251 1331113113331133133311131313131133113311313311131311313
  207251 2311133333111113111331111113113333333
  208361 1133313133333133333311133313133113111333111131133313331
  208361 2313333313311313333311311333311331133
  209280 1133113113331331133331111313111331133333311111131311332
  209280 2132113311113311313111113133311131333
  210250 1331311133331331133131133311331131133313311133131313331
  210250 2331133313313113331331113113311311133
  211230 1333313313333113333313131113113311311333133131133313133
  211230 2313333333111331133333133133313333333
  212290 1333333333133113313313133113111313111333313133133313131
  212290 2113333333331311331311331113313313333
  213271 1131311113333111133131131111111111133333113113331311331
  213271 2331313311111111331311113113111131133
  214230 1133113113333331133331111311113311131331313133131311331
  214230 2313113311111111333311113111331333133
  215220 1333333113333332133133111311111331133333311131133311331
  215220 2333113311113113333311111113311333333
  216240 1131113113333131133313111133333311111333311133133111331
  216240 2113311331113113133313131333112333333
  217210 1131111113333311333331111113111131111333111111113311331
  217210 2313313311111331131111131331111331133
  218240 1333133133331331333311113311333131333313113131313311331
  218240 2131131313111113133311113133311311333
  219210 1133313113333313333313131113133313111331311131133313133
  219210 2313113333131133133311332131111313313
  220281 1131313113133311133133111113131111133331313111331311231
  220281 2313113311113311311111113133311111333
  221220 1333113333333333333331131113331131331333311133133313331
  221220 2331333331333131133311133331313331333
  222361 1131111113333311133333113313131111111331113133133313131
  222361 2311311311113133133331113313113311333
  223341 1133113113333131123111111311111131111311331131133311331
  223341 2313133311313111333313111133311331133
  224200 1333113113333333133133111113131111133331313113131311313
  224200 2313131311111111333311133311311111133
  225240 1333113113333131133313133313113111131333311133133311331
  225240 2331313331113113333311331113313331333
  226241 1133333331333133333313133313311313311333311133133333311
  226241 2111333333313333333311131333313333333
  227281 1331113113331331131133113313111131131333131313131311331
  227281 2311111311113311333311113111111113333
  228271 1133313113133333323331333113331322133333133131133311331
  228271 2313331333131111133111133111111311333
  229180 1333113313333113333333131333111131131331333131111111331
  229180 2311311333113111133311113133333333333
  230291 1131333113331111133133111111111131111333311111131313331
  230291 2313111311113111331311113131111111333
  231281 1113133333333113333111133313311133133333311133133313331
  231281 2333333333331313331311331313313333333
  232281 1133311113333133133131111113133111111333313113333111331
  232281 2311313333133113331111133313111331333
  233281 1133331113333333131133111113111331111331111131133313311
  233281 2331113311313113311311111113311331333
  234310 1131133133333331133311111313311131313313311133113311331
  234310 2313333311113313133311111113311331333
  235230 1333133113333131133311131313131131111333311133131313333
  235230 2313313313113331331311313133311333333
  236251 1133333313333311333331113113313333113333311133133311333
  236251 2333333333331313331313333333311331133
  237211 1333313313333333133311133313111133111333311131133313331
  237211 2331333333111113331111133313311331333
  238311 1133311313333311333111111113133131131333333133333311331
  238311 2313333311311111331111113333113333333
  239331 1133313113333111333111133113311133111333313133133313331
  239331 2311333313111313333311111333113333313
  240221 1333133113333331331133131333133131133331313133113313311
  240221 2333113311111111331311133112113131133
  241350 1333133313333131133131113313111111111333311133133311333
  241350 2313333311111113333311113133311133313
  242270 1131131113333131133131113313111131111311311131133113331
  242270 2333133313113133331311112313313133333
  243301 1133113113333133133111113111113111111313111131131311111
  243301 2131133333111313331111111313111313313
  244321 1133313333333111133131113113131131113313311131113311331
  244321 2333313313111113331311113113313331333
  245241 1133333133333331333311113113311131133331311132133313331
  245241 2133331313313111333311131333311331313
  246261 1333311133331331333133113313111331111333311133131311331
  246261 2331333333311333331311113113313331133
  247201 1313133113333131133131133313333133133333313131133311331
  247201 2313311331123111331331131133311331333
  248311 1333313313333333133333111113111131131313311111131311331
  248311 2331333311111113331311113113113333133
  249221 1311113113111131131133111313113311333113311333111331331
  249221 2311113331111113333131111113313313131
  250190 1133313113331313133331133133111111333331313111133311331
  250190 2311313311111111311111113111313133331
  251201 1131113113333313133111111113111111113333311111111311331
  251201 2313333311131311133311331333331111133
  252321 1133133333133313133313133113133113111333113333133313333
  252321 2313333313131333331331331113113333313
  253241 1331133113333331133131111311311131133333311113131311331
  253241 2331133311113111333311113311311133333
  254221 1313333213333313133133111113131133131333311131131311331
  254221 2333133333313111133311313313113113133
  255291 1333133113333333133111111313111131133333311131131311331
  255291 2311113331111331331111133113313131133
  256231 1131313113333311133131111113111111111333111111113313332
  256231 2313313333311211131311133113311331133
  257260 1313331113133313131333131131133333133333111113331313331
  257260 2333311311313131333331113133313331333
  258341 1313313313333113333311113313311133111333313133133311331
  258341 2313313311111111331111133333313331333
  259221 1313313313333311133333133113133313111313133131333313133
  259221 2113333333113333333311331333113313313
  260261 1111313113333313133133131113113131331333311133133311333
  260261 2333111311311131333311113133111131333
  261221 1333111133311233131333311311131313133333131333313311111
  261221 2131313311111133331331131311333333331
  262221 1333313133133133131331131331313313113131313333133313131
  262221 2311313313133113333331331131313133333
  263291 1133133113333113131333131113111313313313331331133311331
  263291 2131133313111313333321113313133333331
  264290 1133113313132113113333133133331311331131113131133311131
  264290 2313311333321113113133131333113313313
  265221 1331333113333331133131111113131131133331311133131311333
  265221 2333113313311111331111113131313113313
  266240 1311113113333333133331113113111331131333113111131331331
